Output format is unaligned.
Field separator is "	".
Null display is "NULL".
=== Q1 mi_themes history: crypto + AI lineages ===
theme_date	name	source	stage	score	rs_avg	days_active	consecutive_accelerating	parent_theme	tickers	descr
2026-08-04	AI Data Center Infrastructure Buildout	shadow_promoted	Retired	54.3	54.300000000000004	1	0	Cloud Data Storage & Analytics Infrastructure	BTDR,AMRC,BLZE	All three are directly benefiting from explosive AI data center demand: Bitdeer signed a $4.7B 16-year data center lease, Ameresco reported $1.2B of its record $1.8B new project awards driven by data center energy projec
2026-08-05	AI Data Center Infrastructure Buildout	shadow_promoted	Nascent	46.8	46.833333333333336	2	0	NULL	BTDR,AMRC,BLZE	All three are directly benefiting from explosive AI data center demand: Bitdeer signed a $4.7B 16-year data center lease, Ameresco reported $1.2B of its record $1.8B new project awards driven by data center energy projec
2026-08-06	AI Data Center Infrastructure Buildout	live	Retired	0.0	NULL	3	0	Cloud Data Storage & Analytics Infrastructure		Auto-retired 2026-08-06: absorbed/superseded by 'Cloud Data Storage & Analytics Infrastructure' (prior stage Nascent, 3 tickers).
2026-07-20	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	11.6	NULL	3	0	NULL	HUT,CIFR	CIFR, CORZ, HUT, IREN, and WULF are all pure-play Bitcoin miners with correlated price action (corr 0.84) tied directly to Bitcoin price levels and mining economics. While currently at low RS levels, this cluster moves a
2026-07-21	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	9.3	NULL	3	0	NULL	HUT,CIFR	CIFR, CORZ, HUT, IREN, and WULF are all pure-play Bitcoin miners with correlated price action (corr 0.84) tied directly to Bitcoin price levels and mining economics. While currently at low RS levels, this cluster moves a
2026-07-22	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	77.2	94.5	3	0	NULL	CIFR,HUT	HUT is being driven higher by its announcement of a second 15-year, $9.8 billion AI data center lease at its Beacon Point campus in Texas, which fully commercializes the 1 GW site and doubles contracted IT capacity. That
2026-07-23	Bitcoin Mining & Crypto Infrastructure Operators	live	Accelerating	79.0	97.9	4	1	NULL	CIFR,HUT	CIFR and HUT are being driven higher this week primarily by a sector-wide re-rating of Bitcoin miners pivoting to AI/HPC data center infrastructure after Hut 8’s new $9.8 billion Beacon Point lease and IREN’s multi-year 
2026-07-24	Bitcoin Mining & Crypto Infrastructure Operators	live	Accelerating	76.8	93.5	5	2	NULL	CIFR,HUT	CIFR is moving higher mostly on a sector sympathy rally, not company-specific news, after Hut 8 landed a second $9.8 billion AI data-center lease and IREN raised its AI/cloud revenue outlook. That reinforced the market’s
2026-07-27	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	61.4	NULL	5	0	NULL	CIFR,HUT	CIFR is moving higher mostly on a sector sympathy rally, not company-specific news, after Hut 8 landed a second $9.8 billion AI data-center lease and IREN raised its AI/cloud revenue outlook. That reinforced the market’s
2026-07-28	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	49.2	NULL	5	0	NULL	CIFR,HUT	CIFR is moving higher mostly on a sector sympathy rally, not company-specific news, after Hut 8 landed a second $9.8 billion AI data-center lease and IREN raised its AI/cloud revenue outlook. That reinforced the market’s
2026-07-29	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	39.3	NULL	5	0	NULL	CIFR,HUT	CIFR is moving higher mostly on a sector sympathy rally, not company-specific news, after Hut 8 landed a second $9.8 billion AI data-center lease and IREN raised its AI/cloud revenue outlook. That reinforced the market’s
2026-07-30	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	31.5	NULL	5	0	NULL	CIFR,HUT	CIFR is moving higher mostly on a sector sympathy rally, not company-specific news, after Hut 8 landed a second $9.8 billion AI data-center lease and IREN raised its AI/cloud revenue outlook. That reinforced the market’s
2026-07-31	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	25.2	NULL	5	0	NULL	CIFR,HUT	CIFR is moving higher mostly on a sector sympathy rally, not company-specific news, after Hut 8 landed a second $9.8 billion AI data-center lease and IREN raised its AI/cloud revenue outlook. That reinforced the market’s
2026-08-03	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	72.5	84.9	5	0	NULL	CIFR,HUT	CIFR and HUT are moving higher this week on the back of Hut 8’s massive long-term AI data center lease deals at its Beacon Point Texas campus, which fully commercialize the 1 GW site and highlight Nvidia as the anchor te
2026-08-05	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	58.0	NULL	5	0	NULL	CIFR,HUT	CIFR and HUT are moving higher this week on the back of Hut 8’s massive long-term AI data center lease deals at its Beacon Point Texas campus, which fully commercialize the 1 GW site and highlight Nvidia as the anchor te
2026-08-06	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	46.4	NULL	5	0	NULL	CIFR,HUT	CIFR and HUT are moving higher this week on the back of Hut 8’s massive long-term AI data center lease deals at its Beacon Point Texas campus, which fully commercialize the 1 GW site and highlight Nvidia as the anchor te
(16 rows)
=== Q2 audit rows 08-03..08-07 naming the lineages or the five tickers ===
2026-08-04 09:35:00	order_status_reconciled	BTDR order=be89aa2c: new -> filled (live)	order_id=be89aa2c-d74c-4ed9-be12-bbc25e3d421f trade_id=304 purpose=None db_was='new' alpaca_now=filled filled_qty=74.0 filled_avg_price=12.85
2026-08-04 09:46:20	r3_day1_reentry_blocked	BTDR: Day-1 re-entry disabled by R3 ship	{"trade_id": 304, "ticker": "BTDR", "stop_fill_price": 12.47, "att1_pnl": -28.119999999999926, "source": "websocket"}
2026-08-04 10:00:00	order_status_reconciled	BTDR order=8bc3ab42: new -> filled (live)	order_id=8bc3ab42-3ad2-48b1-b531-d440d4629998 trade_id=304 purpose=stop_loss db_was='new' alpaca_now=filled filled_qty=74.0 filled_avg_price=12.47
2026-08-04 10:00:32	9m_ep_detected	BTDR vol=6.2M price=$12.83 gap=12.4%	is_anticipation=True projected=80735473 actual=False
2026-08-04 17:03:35	theme_retired	Retired: Bitcoin Mining & Crypto Infrastructure Operators	Last tickers: CIFR, HUT
2026-08-04 17:04:12	theme_auto_retired	Auto-retired 1 theme(s) dropped during merge passes (0 with successor pointer)	'Bitcoin Mining & Crypto Infrastructure Operators' -> parent='(unknown)'
2026-08-04 17:06:40	narrative_theme_discovery_ran	2026-08-04: 11 alerts -> 2 narrative theme(s): ['AI Data Center Infrastructure Buildout', 'U.S. Government/Defense Spending Surge']	
2026-08-04 17:06:40	shadow_themes_promoted	Graduated 4 shadow cohort(s) into live mi_themes (4 new)	promoted=['Aerospace Precision Components & Supply Chain', 'AI Data Center Infrastructure Buildout', 'AI GPU Compute Infrastructure & Cloud Services', 'Alphabet (Google) Platform Re-Rating', 'Defense Electronics & Aerospace Subsystem Suppliers', 'Quantum Computing Hardware & Software', 'U.S. Government/Defense Spending Surge'] new=['Aerospace Precision Components & Supply Chain', 'AI Data Center Infrastructure Buildout', 'AI GPU Compute Infrastructure & Cloud Services', 'U.S. Government/Defense Spending Surge']
2026-08-04 17:06:40	theme_birth_gate	2026-08-04 [promote/observe] birth-gate: 0 birth / 3 join / 3 awaiting-2nd-sighting / 0 held-floor · ⚠ 2 previously-held later PASSED	[{"outcome": "await_second_sighting", "reason": "await_second_sighting", "join_target": null, "join_overlap": null, "ledger_overlap": null, "sightings": 1, "rs_avg": 75.66666666666667, "traj5": 55.866666666666674, "mode": "observe", "name": "Aerospace Precision Components & Supply Chain"}, {"outcome": "join", "reason": "join", "join_target": "Cloud Data Storage & Analytics Infrastructure", "join_overlap": 0.5, "ledger_overlap": null, "sightings": 1, "rs_avg": 54.300000000000004, "traj5": 13.450000000000003, "mode": "observe", "name": "AI Data Center Infrastructure Buildout"}, {"outcome": "await_second_sighting", "reason": "await_second_sighting", "join_target": null, "join_overlap": null, "ledger_overlap": null, "sightings": 1, "rs_avg": 63.699999999999996, "traj5": 37.56666666666666, "mode": "observe", "name": "AI GPU Compute Infrastructure & Cloud Services"}, {"outcome": "join", "reaso
2026-08-04 17:06:51	theme_ecosystem_assigned	'AI Data Center Infrastructure Buildout' → E-AIINFRA (haiku)	members=BTDR, AMRC, BLZE | 
2026-08-04 17:10:38	theme_pass1_5_skip	Pass1.5: 'Cloud Data Storage & Analytics Infrastructure' eligible but no target passed (1 candidate(s) skipped)	t='Cloud Data Storage & Analytics Infrastructure' t_score=79.0 t_protected=True t_size=2 unique_count=1 |   skip target='AI Data Center Infrastructure Buildout' reason=direction:target_score=43.440000000000005<t_score=79.0
2026-08-04 17:10:38	theme_pass1_5_absorption	Pass1.5: 'AI Data Center Infrastructure Buildout' -> 'Cloud Data Storage & Analytics Infrastructure'	t='AI Data Center Infrastructure Buildout' t_score=43.440000000000005 t_protected=True t_size=2 unique_count=0 target='Cloud Data Storage & Analytics Infrastructure' target_score=79.0 target_protected=True
2026-08-04 17:11:14	theme_auto_retired	Auto-retired 4 theme(s) dropped during merge passes (2 with successor pointer)	'AI Data Center Infrastructure Buildout' -> parent='Cloud Data Storage & Analytics Infrastructure' | 'Domestic Steel Producers' -> parent='U.S. Domestic Steel Producers' | 'Industrial & Logistics REITs' -> parent='(unknown)' | 'U.S. Apparel & Lifestyle Brand Recovery' -> parent='(unknown)'
2026-08-04 17:12:38	theme_pass1_5_skip	Pass1.5: 'Cloud Data Storage & Analytics Infrastructure' eligible but no target passed (1 candidate(s) skipped)	t='Cloud Data Storage & Analytics Infrastructure' t_score=79.0 t_protected=True t_size=2 unique_count=1 |   skip target='AI Data Center Infrastructure Buildout' reason=direction:target_score=43.440000000000005<t_score=79.0
2026-08-04 17:12:38	theme_pass1_5_absorption	Pass1.5: 'AI Data Center Infrastructure Buildout' -> 'Cloud Data Storage & Analytics Infrastructure'	t='AI Data Center Infrastructure Buildout' t_score=43.440000000000005 t_protected=True t_size=2 unique_count=0 target='Cloud Data Storage & Analytics Infrastructure' target_score=79.0 target_protected=True
2026-08-04 17:13:13	theme_auto_retired	Auto-retired 4 theme(s) dropped during merge passes (2 with successor pointer)	'AI Data Center Infrastructure Buildout' -> parent='Cloud Data Storage & Analytics Infrastructure' | 'Domestic Steel Producers' -> parent='U.S. Domestic Steel Producers' | 'Industrial & Logistics REITs' -> parent='(unknown)' | 'U.S. Apparel & Lifestyle Brand Recovery' -> parent='(unknown)'
2026-08-04 17:13:20	narrative_theme_discovery_ran	2026-08-04: 11 alerts -> 3 narrative theme(s): ['AI Data Center Infrastructure Buildout', 'U.S. Government/Defense Contract Surge', 'Semiconductor Equipment Demand Recovery']	
2026-08-04 17:13:20	shadow_themes_promoted	Graduated 5 shadow cohort(s) into live mi_themes (5 new)	promoted=['AI Data Center Infrastructure Buildout', 'Alphabet (Google) Platform Re-Rating', 'Defense Electronics & Aerospace Subsystem Suppliers', 'For-Profit & Vocational Education Operators', 'Industrial Equipment Rental & Material Handling', 'Quantum Computing Hardware & Software', 'Senior & Mid-Tier Gold & Silver Miners', 'U.S. Government/Defense Contract Surge'] new=['AI Data Center Infrastructure Buildout', 'For-Profit & Vocational Education Operators', 'Industrial Equipment Rental & Material Handling', 'Senior & Mid-Tier Gold & Silver Miners', 'U.S. Government/Defense Contract Surge']
2026-08-04 17:13:20	theme_birth_gate	2026-08-04 [promote/observe] birth-gate: 2 birth / 5 join / 0 awaiting-2nd-sighting / 0 held-floor · ⚠ 3 previously-held later PASSED	[{"outcome": "join", "reason": "join", "join_target": "Cloud Data Storage & Analytics Infrastructure", "join_overlap": 0.6666666666666666, "ledger_overlap": 1.0, "sightings": 1, "rs_avg": 54.300000000000004, "traj5": 13.450000000000003, "mode": "observe", "name": "AI Data Center Infrastructure Buildout"}, {"outcome": "join", "reason": "join", "join_target": "Alphabet (Google) Platform Re-Rating", "join_overlap": 1.0, "ledger_overlap": 1.0, "sightings": 2, "rs_avg": 62.8, "traj5": 47.05, "mode": "observe", "name": "Alphabet (Google) Platform Re-Rating"}, {"outcome": "join", "reason": "join", "join_target": "Defense Electronics & Aerospace Subsystem Suppliers", "join_overlap": 1.0, "ledger_overlap": 1.0, "sightings": 2, "rs_avg": 81.04999999999998, "traj5": 45.21666666666665, "mode": "observe", "name": "Defense Electronics & Aerospace Subsystem Suppliers"}, {"outcome": "birth", "reason": "
2026-08-04 17:15:03	narrative_theme_discovery_ran	2026-08-04: 11 alerts -> 3 narrative theme(s): ['AI Data Center Infrastructure Buildout', 'U.S. Government/Defense Spending Surge', 'Semiconductor Equipment Cycle Recovery']	
2026-08-04 17:15:03	shadow_themes_promoted	Graduated 3 shadow cohort(s) into live mi_themes (3 new)	promoted=['AI Data Center Infrastructure Buildout', 'Alphabet (Google) Platform Re-Rating', 'Defense Electronics & Aerospace Subsystem Suppliers', 'Government & Defense IT Services Providers', 'Quantum Computing Hardware & Software', 'U.S. Government/Defense Spending Surge'] new=['AI Data Center Infrastructure Buildout', 'Government & Defense IT Services Providers', 'U.S. Government/Defense Spending Surge']
2026-08-04 17:15:03	theme_birth_gate	2026-08-04 [promote/observe] birth-gate: 0 birth / 5 join / 0 awaiting-2nd-sighting / 0 held-floor · ⚠ 3 previously-held later PASSED	[{"outcome": "join", "reason": "join", "join_target": "Cloud Data Storage & Analytics Infrastructure", "join_overlap": 0.6666666666666666, "ledger_overlap": 1.0, "sightings": 1, "rs_avg": 54.300000000000004, "traj5": 13.450000000000003, "mode": "observe", "name": "AI Data Center Infrastructure Buildout"}, {"outcome": "join", "reason": "join", "join_target": "Alphabet (Google) Platform Re-Rating", "join_overlap": 1.0, "ledger_overlap": 1.0, "sightings": 2, "rs_avg": 62.8, "traj5": 47.05, "mode": "observe", "name": "Alphabet (Google) Platform Re-Rating"}, {"outcome": "join", "reason": "join", "join_target": "Defense Electronics & Aerospace Subsystem Suppliers", "join_overlap": 1.0, "ledger_overlap": 1.0, "sightings": 2, "rs_avg": 81.04999999999998, "traj5": 45.21666666666665, "mode": "observe", "name": "Defense Electronics & Aerospace Subsystem Suppliers"}, {"outcome": "join", "reason": "j
2026-08-04 17:42:00	pivot_stop_shadow_skipped	insufficient_forward_bars: BTDR trade 304	0 fwd bar(s) since 2026-08-04, need >=5
2026-08-04 22:43:43	theme_retired_while_healthy	Bitcoin Mining & Crypto Infrastructure Operators: retired while healthy (Fading rs_avg=84.9 on 2026-08-03)	{'name': 'Bitcoin Mining & Crypto Infrastructure Operators', 'prior_date': datetime.date(2026, 8, 3), 'prior_rs_avg': 84.9, 'prior_score': 72.5}
2026-08-05 09:51:23	ep_grade_decision	ECG floor=HIGH judge=HIGH dir=hold outcome=verdict	{"authority": "judge", "judge_outcome": "verdict", "rubric_version": "v3-2026-06-12-catalyst-freshness", "rubric_hash": "eef69fa4", "grade_prompt_version": "v3-2026-06-12-catalyst-freshness", "judge_model": "claude-opus-5", "floor_tier": "HIGH", "floor_catalyst_quality": "game_changer", "judge_grade": "game_changer", "judge_tier": "HIGH", "judge_direction": "hold", "judge_materiality_tier": "transformative", "fire_axes": ["catalyst", "theme", "narrative"], "confidence": 0.88, "rationale": "Fresh, primary-source catalyst: 8-K/EX-99.1 dated 2026-08-04 shows record Q2 revenue of $1.23B (+33.7%, 30% organic), EBITDA +52.7%, record backlog +52.8% YoY to $4.55B with $2B of bookings, plus an explicit FY2026 guidance RAISE \u2014 revenue acceleration with a raise is exactly the load-bearing signal for a growth name. Management attributes strength to data center/high-tech submarkets, which joins 
2026-08-05 10:10:01	9m_ep_detected	BTDR vol=3.1M price=$12.06 gap=3.3%	is_anticipation=True projected=30470963 actual=False
2026-08-05 17:06:22	theme_constituent_churn	4 high-churn (theme,ticker) pair(s) in last 10d — sample: CIFR↔Bitcoin Mining & Cry(2), HUT↔Bitcoin Mining & Cry(2), NUE↔U.S. Domestic Steel (2), STLD↔U.S. Domestic Steel (2)	Bitcoin Mining & Crypto Infrastructure Operators | CIFR | reentries=2 | Bitcoin Mining & Crypto Infrastructure Operators | HUT | reentries=2 | U.S. Domestic Steel Producers | NUE | reentries=2 | U.S. Domestic Steel Producers | STLD | reentries=2
2026-08-05 17:08:19	shadow_themes_promoted	Graduated 1 shadow cohort(s) into live mi_themes (0 new)	promoted=['AI Data Center Infrastructure Buildout', 'Alphabet (Google) Platform Re-Rating', 'Defense Electronics & Aerospace Subsystem Suppliers', 'Government & Defense IT Services Providers', 'Quantum Computing Hardware & Software', 'U.S. Government/Defense Contract Surge'] new=[]
2026-08-05 17:08:19	theme_birth_gate	2026-08-05 [promote/observe] birth-gate: 1 birth / 4 join / 0 awaiting-2nd-sighting / 0 held-floor · ⚠ 5 previously-held later PASSED	[{"outcome": "join", "reason": "join", "join_target": "Cloud Data Storage & Analytics Infrastructure", "join_overlap": 0.5, "ledger_overlap": 1.0, "sightings": 2, "rs_avg": 46.833333333333336, "traj5": 10.633333333333333, "mode": "observe", "name": "AI Data Center Infrastructure Buildout"}, {"outcome": "join", "reason": "join", "join_target": "Alphabet (Google) Platform Re-Rating", "join_overlap": 1.0, "ledger_overlap": 1.0, "sightings": 3, "rs_avg": 29.225, "traj5": 6.425000000000001, "mode": "observe", "name": "Alphabet (Google) Platform Re-Rating"}, {"outcome": "join", "reason": "join", "join_target": "Defense Electronics & Aerospace Subsystem Suppliers", "join_overlap": 1.0, "ledger_overlap": 1.0, "sightings": 3, "rs_avg": 79.30000000000001, "traj5": 50.30000000000001, "mode": "observe", "name": "Defense Electronics & Aerospace Subsystem Suppliers"}, {"outcome": "join", "reason": "jo
2026-08-05 17:42:00	pivot_stop_shadow_skipped	insufficient_forward_bars: BTDR trade 304	1 fwd bar(s) since 2026-08-04, need >=5
2026-08-06 07:04:25	ep_grade_decision	AEVA floor=HIGH judge=HIGH dir=hold outcome=verdict	{"authority": "judge", "judge_outcome": "verdict", "rubric_version": "v3-2026-06-12-catalyst-freshness", "rubric_hash": "eef69fa4", "grade_prompt_version": "v3-2026-06-12-catalyst-freshness", "judge_model": "claude-opus-5", "floor_tier": "HIGH", "floor_catalyst_quality": "strong", "judge_grade": "strong", "judge_tier": "HIGH", "judge_direction": "hold", "judge_materiality_tier": "material", "fire_axes": ["catalyst", "theme", "narrative"], "confidence": 0.72, "rationale": "Fresh, primary-source catalyst: the Aug 5, 2026 8-K/EX-99.1 discloses Aeva launching a new Optical Connectivity business with a signed JDA for a Near-Packaged Optics solution at a major hyperscaler \u2014 a genuinely new revenue vector for a $1.3B pre-scale sensing company, stacked with Bendix and SICK design wins. This joins the live \"AI Data Center Infrastructure Buildout\" narrative cohort with the same story (AI da
2026-08-06 17:01:26	seeded_pool_admission	#491 M2: 11 seeded ticker(s) admitted to the assignment pool past the RS floor	AEIS (RS 57) ← narrative_cogap 'Semiconductor Equipment Cycle Recovery' 2026-08-04 | ARM (RS 70) ← narrative_cogap 'AI & Data Center Semiconductor Surge' 2026-07-30 | BTDR (RS 11) ← narrative_cogap 'AI Data Center Infrastructure Buildout' 2026-08-04 | COHU (RS 55) ← narrative_cogap 'Semiconductor test recovery AI-driven demand' 2026-07-31 | EME (RS 51) ← narrative_cogap 'AI-Driven Power & Grid Infrastructure Boom' 2026-07-30 | FLNC (RS 5) ← narrative_cogap 'AI data center infrastructure buildout' 2026-07-31 | LRCX (RS 34) ← narrative_cogap 'AI & Data Center Semiconductor Surge' 2026-07-30 | MPWR (RS 47) ← narrative_cogap 'AI data center infrastructure buildout' 2026-07-31 | PWR (RS 55) ← narrative_cogap 'AI-Driven Power & Grid Infrastructure Boom' 2026-07-30 | SIMO (RS 49) ← narrative_cogap 'AI & Data Center Semiconductor Surge' 2026-07-30 | TSAT (RS 84) ← ecosystem_reactivation 'Reactiv
2026-08-06 17:01:26	theme_carryforward_filter_stripped	AI Data Center Infrastructure Buildout: stripped 1 ticker(s) (banned)	theme=AI Data Center Infrastructure Buildout | pre_size=2 post_size=1 | banned=['AMRC']
2026-08-06 17:03:39	theme_pass1_5_skip	Pass1.5: 'Cloud Data Storage & Analytics Infrastructure' eligible but no target passed (1 candidate(s) skipped)	t='Cloud Data Storage & Analytics Infrastructure' t_score=79.3 t_protected=True t_size=2 unique_count=1 |   skip target='AI Data Center Infrastructure Buildout' reason=direction:target_score=37.46666666666667<t_score=79.3
2026-08-06 17:03:39	theme_pass1_5_absorption	Pass1.5: 'AI Data Center Infrastructure Buildout' -> 'Cloud Data Storage & Analytics Infrastructure'	t='AI Data Center Infrastructure Buildout' t_score=37.46666666666667 t_protected=True t_size=1 unique_count=0 target='Cloud Data Storage & Analytics Infrastructure' target_score=79.3 target_protected=True
2026-08-06 17:04:16	theme_auto_retired	Auto-retired 7 theme(s) dropped during merge passes (1 with successor pointer)	'AI Data Center Infrastructure Buildout' -> parent='Cloud Data Storage & Analytics Infrastructure' | 'B2B Marketing Automation & Customer Engagement SaaS' -> parent='(unknown)' | 'Cruise Line & Ocean Travel Recovery' -> parent='(unknown)' | 'Financial Compliance & Regulatory Reporting SaaS' -> parent='(unknown)' | 'Molecular Diagnostics & DNA-Based Genetic Testing' -> parent='(unknown)' | 'Tax Preparation & Consumer Financial Software Platforms' -> parent='(unknown)' | 'Technology Intellectual Property Licensing' -> parent='(unknown)'
2026-08-06 17:04:21	theme_constituent_churn	4 high-churn (theme,ticker) pair(s) in last 10d — sample: CIFR↔Bitcoin Mining & Cry(2), HUT↔Bitcoin Mining & Cry(2), NUE↔U.S. Domestic Steel (2), STLD↔U.S. Domestic Steel (2)	Bitcoin Mining & Crypto Infrastructure Operators | CIFR | reentries=2 | Bitcoin Mining & Crypto Infrastructure Operators | HUT | reentries=2 | U.S. Domestic Steel Producers | NUE | reentries=2 | U.S. Domestic Steel Producers | STLD | reentries=2
2026-08-06 17:06:08	shadow_themes_promoted	Graduated 1 shadow cohort(s) into live mi_themes (0 new)	promoted=['AI Data Center Infrastructure Buildout', 'Alphabet (Google) Platform Re-Rating', 'Defense Electronics & Aerospace Subsystem Suppliers', 'Government & Defense IT Services Providers', 'Quantum Computing Hardware & Software', 'U.S. Government/Defense Contract Surge'] new=[]
2026-08-06 17:06:08	theme_birth_gate	2026-08-06 [promote/observe] birth-gate: 0 birth / 4 join / 0 awaiting-2nd-sighting / 0 held-floor · ⚠ 5 previously-held later PASSED	[{"outcome": "join", "reason": "join", "join_target": "Cloud Data Storage & Analytics Infrastructure", "join_overlap": 0.5, "ledger_overlap": 1.0, "sightings": 3, "rs_avg": 50.166666666666664, "traj5": 10.11666666666666, "mode": "observe", "name": "AI Data Center Infrastructure Buildout"}, {"outcome": "join", "reason": "join", "join_target": "Alphabet (Google) Platform Re-Rating", "join_overlap": 1.0, "ledger_overlap": 1.0, "sightings": 4, "rs_avg": 47.375, "traj5": 26.15, "mode": "observe", "name": "Alphabet (Google) Platform Re-Rating"}, {"outcome": "join", "reason": "join", "join_target": "Defense Electronics & Aerospace Subsystem Suppliers", "join_overlap": 1.0, "ledger_overlap": 1.0, "sightings": 4, "rs_avg": 81.9, "traj5": 32.475, "mode": "observe", "name": "Defense Electronics & Aerospace Subsystem Suppliers"}, {"outcome": "join", "reason": "join", "join_target": "Government & Def
2026-08-06 17:42:00	pivot_stop_shadow_skipped	insufficient_forward_bars: BTDR trade 304	2 fwd bar(s) since 2026-08-04, need >=5
(88 rows)
=== Q3 which themes hold the five tickers, 08-01..08-07 ===
theme_date	name	source	stage	held	tickers
2026-08-03	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	CIFR,HUT	CIFR,HUT
2026-08-03	Cloud Data Storage & Analytics Infrastructure	live	Mainstream	BLZE	SNOW,BLZE
2026-08-04	AI Data Center Infrastructure Buildout	shadow_promoted	Retired	BTDR,AMRC,BLZE	BTDR,AMRC,BLZE
2026-08-04	Cloud Data Storage & Analytics Infrastructure	live	Accelerating	BLZE,AMRC	SNOW,BLZE,AMRC
2026-08-04	U.S. Government/Defense Contract Surge	shadow_promoted	Nascent	AMRC	PLTR,TSAT,VOYG,AMRC
2026-08-04	U.S. Government/Defense Spending Surge	shadow_promoted	Nascent	AMRC	PLTR,TSAT,VOYG,AMRC
2026-08-05	AI Data Center Infrastructure Buildout	shadow_promoted	Nascent	BTDR,AMRC,BLZE	BTDR,AMRC,BLZE
2026-08-05	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	CIFR,HUT	CIFR,HUT
2026-08-05	Cloud Data Storage & Analytics Infrastructure	live	Accelerating	BLZE	SNOW,BLZE
2026-08-06	Bitcoin Mining & Crypto Infrastructure Operators	live	Fading	CIFR,HUT	CIFR,HUT
2026-08-06	Cloud Data Storage & Analytics Infrastructure	live	Mainstream	BLZE	BLZE,SNOW
2026-08-06	U.S. Government/Defense Contract Surge	shadow_promoted	Nascent	AMRC	PLTR,TSAT,VOYG,AMRC
(12 rows)
=== Q4 funnel + engine-drop + rename events 08-04..08-06 ===
et_ts	event_type	summary	detail
2026-08-04 17:03:35	theme_engine_funnel	births: uncovered=14 v/t/e=21/13/26 discovery=ON → LLM=6 → survived=6 | retired=1	{"uncovered": 14, "velocity": 21, "turners": 13, "elite_covered": 26, "discovery_called": true, "new_raw_llm": 6, "new_themes_survived": 6, "retired": 1, "survived_names": ["Junior Precious Metals Miners Rotation", "Net Lease Single-Tenant REIT Recovery", "Regulated Water Utility Infrastructure", "Private Equity & Alternative Asset Management Platforms", "Management Consulting & Research Advisory Services", "Technology Intellectual Property Licensing"]}
2026-08-04 17:03:35	theme_discovered	New theme: Junior Precious Metals Miners Rotation (4 stocks)	Tickers: PPTA, FSM, NG, PAAS | Thesis: PPTA is trading higher on ongoing momentum from the opening of its U.S. Army-backed antimony pilot plant and related strategic loan/government support for the Stibnite project, which has re-rated the stock as a key critical-minerals play. FSM and PAAS are being bid up primarily on the back of stronger precious metals prices and bullish positioning ahead of upcoming production/earnings catalysts, with silver and gold miners broadly catching a bid as metals continue to hold elevated levels. Secondary support comes from positive analyst sentiment and technical strength in PAAS, plus Fortuna’s resource and portfolio-optimization news that improve medium-term cash flow leverage to metal prices.
2026-08-04 17:03:35	theme_discovered	New theme: Net Lease Single-Tenant REIT Recovery (5 stocks)	Tickers: ADC, EPRT, NNN, O, WPC | Thesis: The main catalyst this week is a broad risk-on move into rate-sensitive real estate and net-lease REITs following increasingly dovish Fed commentary and growing expectations for near-term rate cuts, which improves the relative appeal of long-duration, high-yield REIT cash flows. In that backdrop, the group is also getting a tailwind from solid recent earnings, dividend growth (e.g., NNN’s dividend raise and acquisition guidance) and tightening credit spreads that support valuation multiples and acquisition economics. There is no single stock-specific headline driving ADC, EPRT, NNN, O, and WPC individually; they are primarily rallying as part of a sector-wide re-rating of net-lease REITs tied to the changing rates narrative.
2026-08-04 17:03:35	theme_discovered	New theme: Regulated Water Utility Infrastructure (4 stocks)	Tickers: AWK, AWR, CWT, WTRG | Thesis: The main catalyst is the advancing all-stock merger between American Water Works (AWK) and Essential Utilities (WTRG), which has recently secured multiple key state regulatory approvals (Kentucky, Ohio, Virginia), increasing confidence the deal will close and driving a bid across the regulated water space. In addition, American Water’s stronger-than-expected Q2 2026 results, reaffirmed EPS guidance, and visible capital investment/regulatory pipeline are supporting sentiment and lifting peers via sector read-through. Broader rotation into defensives/low-beta utilities in a choppy tape is adding incremental demand for names like AWR, CWT, HTO, and WTRG.
2026-08-04 17:03:35	theme_discovered	New theme: Private Equity & Alternative Asset Management Platforms (2 stocks)	Tickers: ARES, HLNE | Thesis: ARES is trading higher this week primarily on a strong Q2 earnings print, with analysts highlighting robust growth in private credit and infrastructure platforms and raising forward forecasts and price targets (e.g., TD Cowen to $155, JPMorgan to $153, while maintaining bullish ratings). There is also a positive flow backdrop for alternatives after Ares raised roughly $8.5 billion for its latest specialty credit fund, reinforcing the growth and fee-earning AUM story. Broader risk-on sentiment in equities amid stable macro and earnings strength in large-cap tech is providing an additional tailwind to alternative asset managers like Ares.
