ticker,alert_date,gap_pct,ep_score,catalyst_quality,catalyst,claude_analysis,user_label,user_notes
FTNT,2026-05-07,15.04,96,game_changer,"Fortinet (FTNT) gapped up due to its Q1 2026 earnings beat reported after the close on May 6, exceeding expectations of $0.53 per share with stronger actual results, consistent with its pattern of positive surprises over the past four quarters (Q4 2025: $0.71 vs. $0.66 expected; Q3 2025: $0.65 vs. $0.55). Investors reacted positively to sustained momentum in Unified SASE, AI-driven security, and billings guidance toward $8.4–$8.6 billion for 2026, despite flagged headwinds like component pricing","Fortinet reported Q1 2026 earnings that significantly beat Wall Street expectations (earnings surprise of +33.51% and revenue surprise of +6.79%), with the company exceeding guidance across billings, revenue, margins, and EPS. Most importantly, management raised full-year 2026 outlook, signaling strong confidence in continued momentum driven by broad-based cybersecurity demand. This combination of massive earnings beat plus guidance raise is a classic game_changer catalyst that drives significant momentum in software/cybersecurity stocks.",game_changer,"This one is challenging, earnings is good and likely strong, but the guidance but alignment with key themes may put this into game changer; though i might be hindsight bias becuase this one worked out well, however, maybe not day 1 entry, but fishhook would be perfect"
FTRE,2026-05-05,18.37,84,strong,"FTRE gapped up on strong Q1 earnings results, reporting revenue of $636.5 million and non-GAAP EPS of $0.16, both clear beats against expectations. Despite this, the stock shrugged off the profit beat as it failed to reset concerns over revenue growth trajectory, leading to limited sustained upside with only a 0.57% intraday gain noted. No other major catalysts like deals or sector news appear tied to today's move.","Fortrea (FTRE) reported Q1 2026 earnings with a massive +426.32% EPS beat versus estimates, with revenue coming in essentially in-line (-0.07% miss). The earnings beat was substantial enough to drive the gap-up, and as a clinical research organization in the healthcare sector, this kind of earnings surprise on a contract research organization typically attracts institutional attention. However, the news items do not mention explicit forward guidance raise to elevate this to ""game_changer"" status, so it qualifies as ""strong.""",strong,
GEMI,2026-05-15,22.24,96,strong,"The gap up in Gemini Space Station (GEMI) is essentially a squeeze on sentiment rather than a clean, single positive headline.

Key pieces of context from the latest news flow:

1) Optics of growth versus underlying weakness  
AInvest’s note on Gemini’s 42% year‑over‑year revenue growth (to about $50 million) is being framed as a “growth story,” even though the report makes clear that:
- Core exchange revenue is actually down 27%, and  
- The headline growth is coming from higher-cost new servic","GEMI reported Q1 2026 earnings with concrete metrics: revenue jumped 42% to $50.3 million with narrowing losses, simultaneously announced a $100 million strategic investment from Winklevoss Capital Fund (founders' family office) paid in bitcoin at $14/share. This combines a solid revenue beat with a significant insider confidence signal through substantial capital injection and the broader tailwind of major crypto legislative progress, making it a strong catalyst for a gap-up in a previously neglected crypto stock.",routine_mislabeled,
GEO,2026-05-06,16.72,100,strong,"GEO Group stock gapped up due to the $520 million in new contract wins announced this month, shifting its technical setup from consolidation to breakout potential. Earnings report for Q1 2026 is due before the bell today, with analysts expecting $0.19 per share on $689 million revenue, representing 35.71% EPS growth year-over-year. Bullish analyst sentiment persists with four Strong Buys and a $27.20 consensus target implying 48% upside from $18.36. Options imply a 9.31% expected move post-earni","GEO Group announced record 2025 contract wins totaling approximately $520 million in new annualized revenue, combined with solid full-year 2025 results including lower net debt and improved shareholder returns. This represents a concrete, material catalyst — record contract awards from a government services provider demonstrate business momentum and revenue visibility that directly support a significant pre-market gap-up in a previously range-bound stock.",routine_mislabeled,
GHRS,2026-04-20,18.65,100,strong,"GHRS gapped up 18% today due to a White House executive order accelerating mental health innovation and expanding access to psychedelic medical treatments, directly benefiting GH Research's pipeline in this space. The company, focused on psychedelic therapies like 5-MeO-DMT for treatment-resistant depression, saw momentum alongside peers like CMPS and DFTX citing the same catalyst in real-time market scanners. No company-specific GHRS news released today, but the sector-wide boost from the order","GH Research (GHRS) is gapping up on regulatory tailwinds following President Trump's executive order to accelerate psychedelic drug research and expand patient access to treatments for serious mental illness like PTSD. This is a game-changing policy catalyst for the entire psychedelic biotech sector, particularly for companies like GHRS with lead candidates in Phase 2b trials for depression. The executive order represents a meaningful de-risking of the regulatory pathway and could accelerate clinical timelines, justifying the strong pre-market momentum.",strong,
GKOS,2026-04-30,20.85,96,game_changer,"GKOS stock gapped up 12% pre-market on positive Phase 3 trial results for its iStent infinite device in glaucoma treatment, announced late yesterday after market close. The trial met primary endpoint with 28% greater IOP reduction vs. medication alone at 12 months, boosting analyst upgrades from firms like Piper Sandler (target to $28 from $22) and JMP Securities (to $30). No other major news; volume spiking on institutional buying.","Glaukos reported record Q1 2026 net sales of $150.6 million, representing 41% reported growth and 39% constant-currency growth YoY, with significant earnings beat (+39.60%) and revenue beat (+10.00%) versus estimates. Most importantly, the company raised full-year guidance on the back of strong performance across its glaucoma and corneal health franchises, which are the key drivers of the business. This combination of a substantial beat on both top and bottom line with an accompanying guidance raise represents a concrete, material catalyst for a healthcare equipment/pharma company.",routine_mislabeled,
GLOB,2026-05-15,10.59,89.3,strong,"GLOB is gapping up on a clean earnings reaction plus some “relief rally” dynamics around the ongoing lawsuit headlines.

Key near-term catalysts and why the stock is higher:

1) Solid Q1 earnings and guidance (primary positive catalyst)  
   • Q1 results: Net income $37M, GAAP EPS $0.85; adjusted EPS $1.50, which matched Street expectations.  
   • Revenue: $607.1M versus about $602M expected – a small beat, but important in a cautious IT-services tape.  
   • Forward guidance:  
     – Q2 EPS g","Globant reported Q1 2026 earnings with revenue exceeding guidance (beat of +0.81%) and surpassing its guidance range, coupled with robust AI Pods growth and a new share repurchase program announcement. Additionally, Wedbush initiated coverage with an Outperform rating and $61 price target on April 9, adding analyst support to the positive earnings momentum on a previously neglected small-cap stock capitalizing on AI spending trends.",routine_mislabeled,"poor technical structure, gap up is weak and didn't even break above 20MA"
GLW,2026-05-06,18.94,84,strong,"Corning (GLW) gapped up on momentum from its Q1 2026 earnings beat reported April 28, with 18% revenue growth to $4.35 billion, EPS of 70 cents beating estimates, and core margins expanding to 20.2%. Key catalysts include three multi-year hyperscale contracts worth up to $6 billion each, including new deals matching the prior Meta agreement, signaling locked-in AI data center demand. Management extended its Springboard plan to 2030 amid rising AI and solar needs. Additional tailwinds: Rep. Salaz","Corning announced a major partnership with Nvidia involving $500M in stock purchases and the creation of three new fiber optics plants to expand US production for AI data center connectivity. This is a transformative strategic partnership with a major tech leader that validates Corning's core business in a high-growth AI infrastructure trend, representing both immediate revenue visibility and long-term growth positioning.",strong,"This is the 2nd major deal for GLW (previous with META on 1/27), hot theme, center of AI buildout; better entry would've been 1/27 but a delayed EP"
GO,2026-05-14,17.38,84,strong,"I cannot find specific information about GO stock gapping up in the search results provided. The results discuss gap-up patterns in general and mention SELLAS Life Sciences (SLS), Palantir, AMD, and other stocks, but there is no catalyst or news about GO stock.

To get accurate information about GO stock's recent gap-up movement and the underlying catalyst, you would need to check real-time market data sources like your broker platform, Yahoo Finance, or the company's investor relations page for","Grocery Outlet (GO) reported Q1 2026 earnings with revenue of $1.17 billion, beating Wall Street expectations with 3.6% YoY sales growth. The stock jumped 10.8% on better-than-expected sales results and management guidance that was in line with prior expectations, signaling stabilization in a previously challenged discount grocery retailer as it works to restore comparable sales growth through strategic initiatives.",routine_mislabeled,
GSHD,2026-04-23,17.78,100,strong,"Goosehead Insurance (GSHD) gapped up due to strong Q1 2026 earnings released April 22, beating expectations with total revenue up 23% to $93.1 million, core revenue up 15% to $79.5 million, and total written premiums up 13% to $1.1 billion. CEO Mark Miller highlighted Digital Agent 2.0 expansion to homeowners products as the first end-to-end digital insurance marketplace in the US, plus AI-driven efficiency gains reinvested for growth. This positions the stock for sustained momentum amid broader","Goosehead Insurance reported Q1 2026 earnings with a 23% revenue increase, demonstrating solid top-line growth and new digital/geographic initiatives. While the news summaries lack specific EPS, guidance raise, or beat/miss details, the 23% revenue growth on a financial services company in this sector represents a meaningful operational catalyst. However, without explicit guidance raise confirmation or detailed beat metrics, this falls short of ""game_changer"" status.",routine_mislabeled,"gap up is pretty weak, group is not great"
HCSG,2026-04-22,22.79,96,strong,"No specific catalyst or news directly explains HCSG stock gapping up today. Search results mention broad market gains from U.S.-Iran talks and positive earnings from UNH and GE, but nothing ties to Healthcare Services Group. Check real-time premarket data or company filings for unlisted updates like earnings beats or analyst upgrades.","HCSG reported Q1 2026 earnings with a substantial +68.18% EPS beat against expectations, combined with a revenue surprise of +0.06%. This significant earnings outperformance on a neglected healthcare services stock qualifies as a strong catalyst that justifies the gap-up. While the revenue beat is modest, the massive earnings beat (68%+) indicates strong operational leverage and margin expansion, signaling improved profitability that should drive momentum.",routine_mislabeled,
HLIT,2026-05-12,15.2,84,strong,"Lumentum Holdings (LITE, not HLIT) gapped up over 4% in pre-market trading after Nasdaq Global Indexes announced on Friday that the stock will be added to the Nasdaq 100 Index on May 18th, replacing CoStar Group. This index inclusion drives passive buying from funds tracking the Nasdaq 100. HLIT has no specific catalysts mentioned but appears on earnings watchlists for May 11.","Harmonic reported Q1 FY2026 earnings with a massive +47.83% EPS beat and +19.38% revenue beat, significantly exceeding expectations. The beat was driven by strong broadband business growth and diversification beyond largest customers, plus a major strategic win with DIRECTV's cloud platform upgrade using Harmonic's VOS Media Software. This combination of a substantial earnings surprise with new high-profile customer validation and expansion into AI/watermarking represents a solid catalyst with both quantitative outperformance and strategic momentum.",routine_mislabeled,why does catalyst mention lumentum holdings?
HUT,2026-05-06,27.25,100,strong,"Hut 8 (HUT) stock gapped up on the refinancing announcement from May 4, 2026, where its subsidiary secured a new $200 million, 364-day Bitcoin-backed credit facility with FalconX. This replaces the prior Coinbase facility, cutting the fixed interest rate from 9.0% to 7.0% (200 basis point savings) and freeing up approximately 3,300 BTC from collateral, unlocking over $260 million in Bitcoin value at current prices. This strengthens Hut 8's capital strategy and balance sheet ahead of its Q1 2026 ","Hut 8 signed a transformative $9.8 billion, 15-year lease for its Beacon Point AI data center campus in Texas, directly capitalizing on surging demand for AI infrastructure. This is a major contract win that validates the company's pivot to high-margin AI/cloud services and provides significant long-term revenue visibility. Combined with improved refinancing (new FalconX $200M loan at favorable 7.0% fixed rate) and the broader crypto/Bitcoin rally providing market tailwinds, this represents a meaningful strategic inflection that justifies a material gap-up.",strong,"AI theme, but delayed EP"
IART,2026-05-05,18.31,100,strong,"Integra LifeSciences (IART) gapped up due to its Q1 2026 earnings release today showing revenues of $391.9 million, up 2.4% reported and 1.3% organic, with strong growth in wound reconstruction products like Integra Skin (double-digit), Durepair, and PriMatrix relaunch. Leadership changes added tailwinds: Stuart Essig appointed CEO and Michael McBreen promoted to Chief Commercial Officer. Company reiterated full-year revenue guidance of $1.662-1.702 billion and raised adjusted EPS outlook to $2.","Integra LifeSciences (IART) reported Q1 2026 earnings with a significant +32.78% EPS beat and +2.74% revenue beat versus Wall Street estimates, with sales of $391.9 million (+2.4% YoY). This is a concrete, verified earnings beat on a medical device company with established revenue base. The magnitude of the EPS surprise (+32.78%) combined with revenue growth demonstrates operational execution, which should drive the gap-up in pre-market trading.",routine_mislabeled,"technical looks good, breaking above 200d MA and previous recent highs"
INBX,2026-04-22,31.55,96,strong,"No specific catalyst identified for INBX stock gap up. Search results highlight unrelated gaps in ALAB (9% without catalyst), S&P 500 indices, and broader market moves tied to US-Iran tensions, ceasefire hopes, and bank earnings, but nothing directly on INBX. Market breadth and sector rotation in tech/real estate noted as general drivers, with no volume confirmation or news tying to INBX. Check real-time scanners for potential low-float momentum or premarket order flow.","Inhibrx announced positive Phase 2 breakthrough results for ozekibart in advanced/metastatic chondrosarcoma with a clear progression-free survival benefit, positioning it as a potential first-in-class targeted therapy for this indication. The company also provided a clinical progress update on December 16 confirming multiple 2026 data readouts across key oncology programs including INBRX-106 combination studies with Keytruda and ozekibart advancing toward FDA discussions. These concrete clinical milestones and advancement toward regulatory interactions represent substantive company-specific catalysts that typically drive biotech momentum trades.",strong,"same previous comment on biotech news, difficult to trade as prone to gaps up and down plus volatility "
INOD,2026-05-08,35.63,100,strong,"INOD gapped up on the release of Q1 2026 earnings results and conference call on May 07, 2026. The stock surged from the mid-$40s during regular trading hours to the low $60s in after-hours trading, representing aggressive momentum buying and short covering.

The core catalyst was management commentary on AI demand and new data contracts during the earnings call. Traders were positioned ahead of the release expecting the company to justify its premium valuation. INOD carries a P/E ratio near 49.","Innodata (INOD) reported Q1 2026 earnings with a massive +229.41% EPS beat and +17.82% revenue beat versus estimates, described by management as ""record-setting"" across revenue, adjusted gross profit, adjusted EBITDA, and cash. The company simultaneously raised guidance, a combination that signals strong momentum in generative AI services and expanding enterprise relationships. This is a classic strong catalyst on what appears to be a neglected small-cap technology stock capitalizing on AI tailwinds.",strong,"good theme, this one worked right away"
INTC,2026-04-24,27.88,100,strong,"Intel gapped up on blowout Q1 earnings released April 23, 2026, with the stock surging 18-20% in after-hours trading driven by beats across three critical dimensions: revenue, margins, and forward guidance.

The company reported $13.6 billion in Q1 revenue versus Wall Street expectations of $12.4 billion, and non-GAAP EPS of $0.29 against consensus of only $0.02. Data Center and AI revenue specifically grew 22% year-over-year to $5.1 billion, with management disclosing that AI-driven businesses ","Intel reported Q1 earnings with adjusted EPS of $0.29, significantly beating analyst estimates of $0.01 (a 29x beat). The company also guided for ""drastic dollar expansion,"" indicating a significant guidance raise. This is a concrete earnings beat on a major-cap semiconductor stock during a sector rally, driving the pre-market gap-up alongside positive geopolitical developments.",strong,"Strong theme, uptrend, needs fishhook or some delay entry to work"
JMIA,2026-05-07,26.14,96,strong,"No relevant catalysts or news found for JMIA stock gap up. Search results cover unrelated school district plans, UNDP regulatory report, and Antero Resources (AR) options data. Check real-time market feeds for volume spikes or earnings surprises.","Jumia released Q4 2025 earnings results on February 11 with analyst commentary indicating the company is nearing full-year profitability with ongoing GMV (Gross Merchandise Value) growth. Multiple analyst upgrades followed, including a Cantor Fitzgerald note positioning JMIA as a ""VC-style"" stock with 74% upside potential. This represents a solid earnings beat with a profitability inflection point and significant analyst enthusiasm on a previously neglected small-cap e-commerce player.",routine_mislabeled,
KALV,2026-04-29,38.25,96,strong,"No recent news or catalysts found explaining a gap up in KALV stock. The provided data references general market files like Interactive Brokers' fractional share list, which mentions unrelated tickers such as GAP, DEO, and ALK but nothing on KALV (KalVista Pharmaceuticals). Check real-time sources like Nasdaq or company filings for potential clinical trial updates or earnings beats, as biotech catalysts often drive such moves.","KalVista Pharmaceuticals reported strong early commercial traction for EKTERLY with nearly $50M in sales in under 6 months post-launch and 20% patient reach, combined with positive interim results from the KONFIDENT-KID pediatric HAE trial showing rapid, well-tolerated on-demand treatment. This represents a solid beat on commercial execution expectations plus meaningful clinical validation for label expansion, warranting a strong catalyst classification rather than routine.",other,M&A buyout 
KFRC,2026-04-28,28.07,96,strong,"Kforce (KFRC) stock gapped up on technical breakout momentum with no specific fundamental catalyst identified in recent reports. The most recent gap up referenced occurred on April 21, 2026, when shares opened at $32.48 after closing at $30.92 the prior day, driven by trader interest amid a consensus Hold rating and $38.50 average price target. Another notable surge of 20.68% to $38.63 happened in pre-market trading around April 26, clearing the 60-day high on high volume confirmation, though ex","Kforce reported Q1 2026 earnings with a +15.00% EPS beat and +0.72% revenue beat, with revenue of $330.4 million. The company demonstrated a return to revenue growth and highlighted strategic AI investments. While the revenue beat was modest, the solid EPS outperformance on a professional staffing stock with renewed growth trajectory and forward-looking AI positioning drove the 16.9% gap-up move.",routine_mislabeled,
KLAR,2026-05-14,19.57,84,strong,"KLAR has not gapped up based on the available information. The stock is currently trading in a tight range of roughly $0.50 over the past week on declining volume, indicating compressed price action rather than a gap move.

The primary near-term catalyst for KLAR is earnings, which are due this week. The setup suggests potential for a sharp directional move once results are reported.

The fundamental backdrop supporting potential upside includes strong fiscal 2025 performance with $120+ billion ","The gap-up for KLAR appears driven by the announcement of a partnership with Google to integrate Klarna's flexible payment options into Google Search and Gemini via Google Pay. While a notable strategic partnership, this is a routine business development announcement without concrete financial metrics, earnings surprises, or guidance changes. The news lacks specific revenue projections, user adoption targets, or quantified impact on earnings, making it a standard partnership announcement rather than a game-changing catalyst.",routine_mislabeled,
KURA,2026-04-17,15.75,100,strong,"KURA stock gapped up due to positive momentum from recent coverage in the expanding head and neck cancer clinical trial pipeline, highlighting Kura Oncology's tipifarnib in Phase II development for HNC and potential biomarkers for hematologic malignancies like PTCL, MDS, AML, and CMML. No other specific news or index changes directly triggered the move today, but the sector buzz positions upcoming earnings as a key catalyst to sustain gains. Trade above the gap fill at $22.50 with volume confirm","Kura Oncology reported Q4 2025 earnings with a successful KOMZIFTI (ziftomenib) commercial launch showing strong revenue growth following FDA approval. This represents a concrete, verifiable catalyst: the company achieved its first major commercial milestone with an approved oncology drug and demonstrated revenue traction in Q4, which CEO Troy Wilson characterized as a ""defining year."" The combination of FDA-approved product launch with demonstrated commercial success and positive earnings results qualifies as a strong catalyst driving the pre-market gap-up.",routine_mislabeled,
KYTX,2026-04-22,21.11,100,strong,"Kyverna Therapeutics (KYTX) gapped up due to positive primary analysis data from its registrational KYSA-8 trial of miv-cel (KYV-101) in stiff person syndrome, presented as a late-breaker at the AAN annual meeting on April 21. The data showed statistically significant, durable clinical benefits across all primary and secondary endpoints at 16 weeks, including rapid improvements in function and all patients discontinuing chronic immunotherapies—outcomes not previously seen in SPS. This positions ","KYTX gapped up on positive Phase II data from its KYSA-8 registrational trial in stiff person syndrome, with reports indicating ""major mobility gains"" and first-in-class potential. This represents a significant clinical milestone for a clinical-stage biotech with a lead CAR T-cell candidate; positive Phase II data in a rare autoimmune indication typically triggers strong biotech momentum and analyst reassessment. The stock already surged 41% in the prior month on this same news, but continued pre-market strength suggests reinforced analyst bullish sentiment and the concrete nature of Phase II efficacy data qualifies this as a strong catalyst rather than routine.",routine_mislabeled,
LASR,2026-05-08,14.56,72,game_changer,"nLIGHT (LASR) gapped up following its impressive Q1 CY2026 earnings release, with revenue of $80.18 million beating estimates by 11.2% (55.2% YoY growth), non-GAAP EPS of $0.20 exceeding consensus, and Q2 guidance of $78 million midpoint topping analyst expectations by 9.9%. Operating margin improved to -0.9% from -18.6% YoY. Stock rose 2.7% to $68.72 post-results, fueled by strong industrial laser demand acceleration and defense expansion momentum.","nLIGHT reported Q1 2026 earnings with a massive +158.07% EPS beat and +12.61% revenue beat ($80.18M, up 55.2% YoY), with management calling it ""exceptional"" and noting gross margins and adjusted EBITDA comfortably exceeded expectations. The company also raised guidance for next quarter's revenue, compounded by strong aerospace and defense segment performance and record product gross margins—this is a classic game-changing earnings surprise with forward guidance raise on a semiconductor/laser technology platform with clear growth momentum.",strong,
LIVN,2026-05-06,14.43,72,game_changer,"LivaNova (LIVN) has no confirmed gap up catalyst in recent reports. Upcoming Q1 earnings are the key near-term driver, with analysts forecasting 90 cents per share on $346.1 million revenue for the March quarter, supported by building reimbursement tailwinds. No specific news ties directly to a gap up event.","LivaNova reported Q1 earnings that beat expectations (EPS +15.29%, Revenue +3.60%) and simultaneously secured FDA premarket approval for its aura6000 System, a proximal hypoglossal nerve stimulation therapy for moderate to severe obstructive sleep apnea. The combination of a solid earnings beat with a transformative FDA approval for a new therapeutic device represents a game-changing catalyst that validates both near-term execution and opens a significant new revenue stream in sleep apnea treatment.",game_changer,"potentially gamechanger with the FDA approval + good earnings, but original catalyst didn't catch it"
MNDY,2026-05-11,19.16,100.8,strong,"No gap up catalyst identified for MNDY. Latest news is a class action lawsuit reminder from Rosen Law Firm with a May 11 lead plaintiff deadline for buyers between September 17, 2025, and February 6, 2026, which typically pressures stocks lower. Broader market shows overbought S&P 500 and Nasdaq RSI above 70, extreme greed sentiment, and narrow breadth driven by five tech giants (GOOGL, NVDA, AMZN, AVGO, AAPL) accounting for half of S&P gains since April, signaling drawdown risk per Goldman Sach","The news items provided are vague, generic, and lack specific catalyst details. The headline ""HubSpot and monday.com Shares Are Soaring, What You Need To Know"" mentions a gap-up but provides no concrete reason—no specific earnings numbers, guidance figures, dates, or verifiable announcement. The other articles are retrospective commentary and opinion pieces (""Is MNDY a good stock to buy?"") rather than actual news catalysts. Without specific earnings beats, guidance raises, or named contracts, this appears to be sector momentum (other software peers reporting strong results) rather than a company-specific catalyst for MNDY itself.",routine_mislabeled,
MRAM,2026-05-11,29.68,115.2,strong,"MRAM stock gapped up over 45% in overnight trading into Monday amid AI-linked momentum in semiconductors, with no fresh company-specific news but strong retail sentiment on Stocktwits turning extremely bullish. The move builds on a more than 100% rise since April 29 quarterly results showing 13% revenue growth to $14.9 million and $0.11 adjusted EPS beating estimates, plus a $40 million defense contract win. Friday's 34% surge to $36.22 and 25% intraday jump rode broader memory chip strength fro","Everspin Technologies announced a $40M defense/mil-aero MRAM contract (April 30), coupled with Q1 2026 earnings that beat expectations: revenue of $14.87M vs. $13.14M YoY, and a reduced net loss of $296K. The company is also expanding its U.S. manufacturing base and analyst fair value has been raised to $18.00 (vs. prior $12.50 and street target $14.00), indicating significant upside recognition. This combination of a major contract win, earnings beat, and analyst upgrades qualifies as a strong catalyst.",strong,"Entry should be 4/30 after earnings, 5/11 is a bit late but could still work with delayed EP"
MTSI,2026-05-07,17.14,84,strong,"MACOM Technology Solutions (MTSI) gapped up on anticipation of Q1 earnings reporting before the bell today, with expectations of 21% year-over-year revenue growth to around $320 million, slowing from last quarter's 30% but following a strong prior beat on $271.6 million revenue and upbeat guidance. The stock has risen 28.9% over the past month amid positive analog semiconductor sentiment, driven by peers like Texas Instruments up 19.4% post-earnings on 18.6% revenue growth and a 6.6% beat, and S","MTSI reported Q1 CY2026 earnings with sales of $289 million, beating Wall Street revenue expectations with 22.5% YoY growth, followed by a strong Q2 beat with positive guidance. The stock jumped 16.5% on the Q1 results alone. Additionally, recent analyst coverage highlights MTSI as a beneficiary of strong AI infrastructure demand for optical and analog chips supporting high-speed data center buildout, which provides incremental momentum for the gap-up.",strong,"earnings ok, but stronger with AI catalyst news"
NKTR,2026-04-20,24.46,100,strong,"NKTR gapped up 5.5% after releasing 52-week topline data from the Phase 2b REZOLVE-AA trial for rezpegaldesleukin in severe-to-very-severe alopecia areata. The company held an investor call this morning at 8:00 am ET to discuss the extension treatment period results.

This data release is a significant trading catalyst, as past conference calls announcing rezpegaldesleukin topline results have moved NKTR an average of 21.65%. The positive market reaction suggests the trial data met or exceeded i","Nektar Therapeutics gapped on positive Phase 2b clinical trial data for rezpegaldesleukin (REZPEG) presented at the 2026 American Academy of Dermatology meeting, showing the therapy could provide sustained relief when dosed once every 3-6 months. This concrete clinical catalyst, combined with analyst fair value estimate upgrades from $129.86 to $136.43 per share and 20%+ stock appreciation on the data, demonstrates meaningful momentum from validated trial results rather than speculative news.",strong,biotech warning
NMAX,2026-04-22,28.35,93.6,routine,"No recent news or catalysts explain a gap up in NMAX stock. Search results reference unrelated topics like a chemistry study on pyridine Schiff bases and a SEC filing for Tidal Trust II on bid-ask spreads, with no mention of NMAX or market movers. Check real-time trading data for intraday volume or order flow as potential drivers.","NMAX's gap-up appears driven by a Q4 2025 earnings release with executives calling it a ""defining year"" and citing revenue growth near the top end of guidance. However, the news summaries provided contain no specific numbers (EPS, revenue figures, guidance raises, or actual beat percentages). Without concrete earnings data, guidance raise figures, or analyst upgrades, this catalyst lacks the specificity needed to classify as a meaningful ""game_changer"" or ""strong"" catalyst. The vague language (""near the top end"") suggests in-line rather than exceptional results, making this a routine earnings event.",routine_correct,didn't catch earnings details
NXPI,2026-04-29,18.28,100,strong,"NXPI stock gapped up due to a strong Q1 earnings beat and raise announced after market close on April 28, 2026. Revenue hit $3.18 billion, up 12% year-over-year and above the $3.16 billion consensus, with adjusted EPS at $3.05 versus $2.95 expected. Q2 guidance crushed estimates too, projecting $3.35-3.55 billion in revenue against $3.27 billion expected and $3.29-3.72 adjusted EPS versus $3.17. Automotive sales, over half of revenue, rose 6%, signaling recovery in that key end market amid broad","NXP Semiconductors reported Q1 2026 earnings that exceeded expectations with 12% year-over-year revenue growth, driven by strong performance in automotive and industrial sectors. Management stated results exceeded expectations with growth broadening beyond strategic focus areas, representing a solid earnings beat. Combined with the demonstrated strength in core business segments and market expansion, this qualifies as a strong catalyst warranting the gap-up move.",routine_mislabeled,"numbers look good but not that strong, however, with AI theme and semi theme, may push it over to strong"
OMCL,2026-04-28,22.24,96,strong,"Based on the available search results, I cannot identify a specific gap up event for OMCL stock or pinpoint what caused it. The search results show that Omnicell has an earnings report upcoming for the quarter ended March 31, with analyst expectations of 33 cents per share on $304 million in revenue representing 12.9% year-over-year growth. KeyBanc also recently highlighted Omnicell as a top healthcare stock pick. However, neither of these represents a current catalyst that would have caused a g","Omnicell reported Q1 CY2026 earnings with a revenue beat (sales of $309.9 million, up 14.9% YoY) exceeding market expectations. The news indicates solid operational performance in healthcare technology with above-consensus results, which qualifies as a strong earnings catalyst for a healthcare technology company in the institutional/hospital supply space.",routine_mislabeled,
ORKA,2026-04-27,48.04,100,strong,"Oruka Therapeutics (NASDAQ: ORKA) stock gapped up after setting a new 52-week high, driven by positive market momentum amid anticipation for upcoming 16-week clinical data on its psoriasis treatment. The stock requires at least 40% PASI 100 response rates to sustain gains, with 50%+ needed to avoid a potential sell-the-news pullback and valuation reset. No other specific news catalysts like earnings or upgrades appear tied directly to today's gap.","The concrete catalyst is a Phase 1 clinical trial readout showing that ORKA-001 achieved complete skin clearance in ~66% of psoriasis patients at 16 weeks with extended dosing intervals (twice-yearly or once-yearly), which directly threatens AbbVie's $18B psoriasis franchise. This was followed by a Wedbush analyst upgrade raising the price target to $85 from $45, representing 89% upside and validating the clinical milestone. For a clinical-stage biotech, positive Phase 1 efficacy data that materially de-risks the lead program and triggers analyst conviction is a strong earnings-replacement catalyst.",routine_mislabeled,biotech news
PACS,2026-05-12,22.26,96,strong,"PACS Group stock faces sell-the-news risk after a 215% rally that has priced in an expected Q1 beat, with narrow expectation gap around $1.36 billion revenue. No confirmed gap up catalyst in latest news; related analysis highlights 31% revenue growth and 11% potential upside, but pre-earnings positioning dominates.","PACS delivered Q1 2026 earnings and revenue results that beat estimates by +19.05% and +5.01% respectively, demonstrating solid operational performance in a healthcare services sector benefiting from the robust 31% market rally over the past 12 months. The earnings beat combined with outperformance against expectations represents a concrete, verifiable catalyst that justifies the gap-up move, though without explicit guidance raise disclosure, this is classified as ""strong"" rather than ""game_changer.""",routine_mislabeled,
PCT,2026-05-07,22.7,100,strong,"PureCycle (PCT) gapped up due to rising virgin polypropylene (PP) prices creating a supply squeeze, combined with strengthening regulatory mandates boosting demand for recycled PP. The company reported record production of 8.4 million lbs, masking ongoing cash burn while positioning for growth in a favorable convergence of market and policy tailwinds. This news drove the pre-market gap as investors priced in accelerated adoption of PureCycle's recycling tech.","PureCycle Technologies reported Q1 2026 earnings with a +17.65% EPS beat and +0.66% revenue beat, coupled with management commentary highlighting ""strongest"" business momentum entering 2026 and production gains at its Ironton facility. Additionally, recent news includes a major partnership with Plastic Ingenuity to develop sustainable coffee lids using PureFive resin, plus significant institutional buying interest (Abundance hedge fund adding 6.7M shares), signaling renewed investor confidence in the company's recycled polypropylene commercialization strategy.",routine_mislabeled,
PGNY,2026-05-08,18.11,84,strong,"Progyny (PGNY) shares gapped up 12.47% pre-market to $21.55, breaking above a 20-day consolidation range on thin volume with no company-specific catalysts identified. The surge appears technical rather than driven by news or fundamentals.","Progyny reported Q1 2026 earnings that beat analyst estimates on both EPS (+14.50%) and revenue (+0.29%), with sales reaching $328.5 million, up 1.4% year-over-year. The catalyst was amplified by a Zacks Rank upgrade to #2 (Buy), reflecting growing analyst optimism about the company's earnings prospects. While Q1 guidance appeared flat, the earnings beat combined with the analyst upgrade cluster provides solid fundamental support for the gap-up.",routine_mislabeled,
